id;name;description;required_in_hierarchy;required_in_jobs;required_in_sow;file_upload_path;is_active;created_by;created_at;updated_by;updated_at
1;XML;Supervisor programming;true;false;true;transmit Buckinghamshire Chicken;false;schemas;2021-05-07;Communications firmware contingency;2021-05-07
2;Monitored Investment;Plastic;true;true;true;Rand Interface back-end;true;programming bi-directional Consultant;2021-05-07;SCSI Architect;2021-05-08
3;global proactive;Accounts;false;false;true;Gorgeous hardware Analyst;false;Towels Solutions;2021-05-07;COM Division;2021-05-08
4;protocol;matrix;false;false;true;Baby Guinea-Bissau;true;District Outdoors;2021-05-07;Buckinghamshire dot-com;2021-05-08
5;invoice Peso;program ubiquitous;false;false;false;Fresh mindshare Regional;false;withdrawal e-business;2021-05-07;Architect SMTP B2B;2021-05-07
6;Fantastic;Pants;false;false;true;Data XSS;true;blue Intelligent deposit;2021-05-08;methodology yellow;2021-05-07
7;XML Metal hacking;Loan Integration pink;true;false;true;CSS drive deposit;true;feed secured;2021-05-07;wireless indexing Mexico;2021-05-07
8;Louisiana maroon;Burgs;false;false;false;revolutionize Dynamic Computers;true;mobile Handcrafted;2021-05-08;Mountains;2021-05-08
9;payment ADP deposit;Indiana port;true;false;true;matrices;false;Bedfordshire;2021-05-07;virtual Fantastic;2021-05-08
10;Practical Forge Auto;Checking Operations XSS;false;false;false;calculate Manager;true;Pizza;2021-05-07;Chips Manager Stand-alone;2021-05-07
